,I_1,I_2
0,1267579.0,1316741.0
1,1356003.0,1250239.0
2,1211081.0,1517972.0
3,1249945.0,1327065.0
4,1329099.0,1544963.0
5,1417848.0,1852669.0
6,1391155.0,1602002.0
7,1450483.9999999998,1446742.0
8,1760752.0,1673774.0
9,1395595.0,1450328.0
10,1514805.0,1291319.0
11,1892758.0,1897734.0
12,1540789.0,1426714.0
13,1882329.0000000002,1617904.9999999998
14,1949038.9999999998,1994324.0
15,1023104.9999999999,1239937.0
16,993064.0,1045120.0
17,1325884.0,1148735.0
18,1372912.0,1303193.0
19,1156621.0,1032700.0
20,1219811.0,1153251.0
21,1111623.0,1154876.0
22,1096111.0,1088391.0
23,914214.0,972259.0
24,846088.0,756608.0
25,1106716.0,1094099.0
26,1645888.0,1636759.0
27,1108373.0,1248767.0
28,1091793.0,1132682.0
29,963031.0,1208968.0
30,1203454.0,2368051.0
31,770612.0,822126.0
32,934918.9999999999,1097544.0
33,1534746.0,1589147.0
34,740474.0,735644.0
35,1438303.0,1693544.0
36,1701112.0,1468401.0
37,1903823.0,1899327.0
38,1176399.0,1164768.0
39,1535142.0,1422696.0
40,1171461.0,987728.0
41,1326635.0,1073861.0
42,1135022.0,998503.0
43,976084.0,970661.0
44,1129549.0,1019840.0
45,1325740.0,1311236.0
46,2152938.0,2489065.0
47,1517333.0,1566921.0
48,1030339.0,1054381.0
49,534525.0,651875.0
50,1834701.0,1775594.0
51,1245034.0,1062327.0
52,1377079.0,1528615.0
53,1327223.0,1353209.0
54,1330994.0,1192268.0
55,1238158.0,1267127.0
56,1197595.0,1346531.0
57,1477210.0,1207497.0
58,1061040.0,1193812.0
59,1471113.0,1579898.0
60,2370005.0,2390330.0
61,1340646.0,1309758.0
62,921154.0,865341.0
63,1789136.9999999998,1732077.0
64,1451003.0,1410890.0
65,892012.0,929332.9999999999
66,1046551.9999999999,1259653.0
67,1063076.0,888371.0
68,995970.0,978588.0
69,1069521.0,1118892.0
70,1116045.0,1007832.0
71,807128.0,896363.0
72,1252170.0,1294584.0
73,1083775.0,855109.0
74,918124.0,1018199.9999999999
75,2417522.0,2803320.0
76,1352750.0,1234765.0
77,1525086.0,1398626.0
78,984020.0,993895.0
79,1379578.0,1400283.0
80,1646336.9999999998,1690231.0
81,1065579.0,1290642.0
82,1712009.0,1688650.0
83,1951632.0,1974569.0
84,1869271.0000000002,1619779.9999999998
85,339966.0,325374.0
86,281845.0,369795.0
87,588867.0,536090.0
88,1649543.0,1787868.0
89,1232830.0,1227580.0
90,1545798.0,1599080.0
91,1292658.0,1257424.0
92,1344940.0,1364036.0
93,1178061.0,1074810.0
94,1560987.0,1671943.0000000002
95,2081756.0,2091321.0
96,2005975.0,1941939.0
97,1977494.0,2004495.0
98,1459701.0,1783644.0
99,2759022.0,2579223.0
100,3360690.0,2469613.0
101,1763327.0,1523419.0
102,1423655.0,1428654.0
103,1354689.0,1433439.0
104,2326295.0,1742999.0
105,1718073.0,1248897.0
106,557515.0,595532.0
107,603243.0,450138.00000000006
108,393363.0,405895.0
109,1141407.0,1004120.0
110,1369230.0,1375372.0
111,1242904.0,1046505.0
112,1005963.0,1084375.0
113,461487.0,459155.0
114,937278.0,815740.0
115,1465290.0,1426811.0
116,348090.0,297350.0
117,985147.0,991916.0
118,1895316.0000000002,1878954.0
119,293540.0,165362.0
120,411757.0,346380.00000000006
121,1435411.0,994498.0
122,1548665.0,1419842.0
123,1772808.0,1635554.0
124,316679.0,288346.0
125,330762.0,313893.0
126,1894259.0,1887088.0
127,1958868.0000000002,1935283.9999999998
128,1354609.0,1886970.0
129,1590551.0,1703417.0
130,1089616.0,903669.0
131,930503.0,1015360.9999999999
132,362892.0,377660.0
133,369850.0,391014.00000000006
134,807404.0,814527.0
135,961097.0,972332.9999999999
136,985754.0,958054.0
137,1019175.0,907962.0
138,423228.0,392346.0
139,308017.99999999994,334085.0
140,1279230.0,1504390.0
141,1406942.0,1218003.0
142,2060528.9999999998,1755245.0
143,577898.0,544809.0
144,553300.0,603075.0
145,950942.0,932815.0
146,911742.0,847705.0
147,834449.0,788644.0
148,293909.0,280001.0
149,267668.0,347247.0
150,296081.0,339177.0
151,1473972.0,1480583.0
152,1107065.0,1131118.0
153,1164459.0,1107414.0
154,1202213.0,1225088.0
155,957079.0,1014746.9999999999
156,1578654.0,1535868.0
157,792143.0,788362.0
158,787545.0000000001,777399.0
159,1700762.0,1359337.0
160,513330.99999999994,442819.0
161,891866.0,421985.0
162,1657134.0,1602485.0
163,1074516.0,926608.0
164,673673.0,645703.0
165,265684.0,76074.0
166,556505.0,338937.0
167,1477564.0,1446551.0
168,1682913.0,1761904.0
169,1395326.0,1613948.0
170,1628405.0,1510302.0
171,439017.0,378752.0
172,489136.00000000006,458760.0
173,1040614.0,1230407.0
174,415213.0,498960.0
175,2302242.0,2074073.0
176,1023019.9999999999,1033323.0
177,980831.0000000001,954673.0
178,971811.0,974856.0
179,952767.0,1089879.0
180,1317098.0,1523642.0
181,1612335.0,1553686.0
182,1838192.0,1943357.0
183,1821463.0,1602644.0
184,969726.0,1044446.0
185,1206369.0,962523.0
186,2088287.0,1734507.0
187,2023773.0,2146642.0
188,1120367.0,1112355.0
189,1252341.0,1333995.0
190,1746966.0,1451769.0
191,1100460.0,968150.0
192,1312173.0,1348348.0
193,1517338.0,1430443.0
194,1134808.0,1301296.0
195,1481240.0,1508764.0
196,1391893.0,1404069.0
197,1430533.0,1344765.0
198,1162528.0,1011746.0
199,472557.0,529369.0
200,1129042.0,1124779.0
201,493210.99999999994,458362.0
202,1508315.0,1376974.0
203,1158493.0,1131209.0
204,915446.0,923941.0
205,1012422.9999999999,1062161.0
206,1949426.0,1875179.0
207,1097925.0,973740.9999999999
208,842139.0,958331.0
209,777872.0,856572.0
210,961288.0,941560.0
211,1222138.0,1061766.0
212,1322552.0000000002,1211891.0
213,392516.0,390609.0
214,492702.0,467461.0
215,1241381.0,1328664.0
216,1149595.0,1098719.0
217,1505268.0,1943135.0
218,443835.0,318325.0
219,1092743.0,1208695.0
220,447622.0,495388.0
221,654461.0,542808.0
222,2546943.0,2480026.0
223,1273147.0,1941558.0
224,1856944.0,1927910.0
225,1125298.0,1136058.0
226,2104702.0,1682834.0
227,1184609.0,1237849.0
228,1806095.0,1522274.0
229,1397983.0,1308781.0
230,881438.0,1047791.0
231,811854.0,959642.0
232,1530719.0,1729575.0
233,1925294.0,1371503.0
234,1721927.0000000002,1634814.0
235,1519581.0,1464568.0
236,1174390.0,1270677.0
237,1165590.0,960691.0
238,1644578.0,1788623.0
239,1757624.0,1556482.0
240,1453077.0,1242331.0
241,921582.0,913638.0
242,1838838.0,1541798.0
243,1869446.0,1950132.9999999998
244,1133224.0,986064.0
245,738512.0,922298.0
246,508623.99999999994,457232.99999999994
247,497866.0,549308.0
248,844828.9999999999,807068.0
249,764344.0,879552.9999999999
250,925632.0,985965.9999999999
251,688091.0,641659.0
252,845747.0,898753.0
253,877696.0,901100.0
254,492168.0,406446.99999999994
255,429161.0,433488.00000000006
256,1705298.0,1400996.0
257,961902.0,1006917.0000000001
258,952658.0,960363.0
259,1057488.0,1016558.0
260,1197993.0,1208202.0
261,2180902.0,1866890.0
262,1701316.0,1830323.0
263,1929644.0,2123505.0
264,1220794.0,1442037.0
265,1334126.0,1185955.0
266,1480776.0,1528615.0
267,2007843.0,1941106.0
268,1128433.0,1103795.0
269,1706424.0000000002,1484262.0
270,1924591.0,2299972.0
271,1509701.0,1358124.0
272,1515675.0,1338257.0
273,484798.00000000006,517114.0
274,588679.0,649206.0
275,1519787.0,1533795.0
276,1413458.0,1570729.0
277,1991060.0,2405322.0
278,2389358.0,2203306.0
279,1667487.0,1663491.0
280,1585892.0,1790255.0000000002
281,1852243.0,1701366.0
282,1292517.0,1398032.0
283,1628734.0,1569731.0
284,1362518.0,1233437.0
285,1162631.0,1123181.0
286,1558097.0,1688347.0
287,1869171.0,1786968.0
288,616542.0,577362.0
289,914660.0,828022.0
290,1000631.0,910995.0
291,792589.0,772554.0
292,801151.0,735405.0
293,804329.0,1013282.0
294,488913.99999999994,569487.0
295,1455978.0,1586439.0000000002
296,1443897.0,1310009.0
297,1754508.0,1951466.0
298,1745239.0,1908784.0
299,954429.9999999999,976951.0
300,947125.0,933909.0
301,402111.0,385469.0
302,353178.0,316564.0
303,1121888.0,1203422.0
304,1479600.0,1569301.0
305,746655.0,833190.0
306,781429.0,685679.0
307,1568462.0,2038595.0
308,338100.0,390056.0
309,545379.0,466790.99999999994
310,1420356.0,1446980.0
311,2680126.0,2906197.0
312,801886.0,833510.0
313,865443.0,807612.0
314,276451.0,267760.0
315,359440.0,424237.0
316,1078246.0,1065843.0
317,1271175.0,1140984.0
318,1224338.0,2203347.0
319,1534816.0,1471352.0
320,2016951.0,1512036.0
321,874664.0,1068960.0
322,766740.0,1019119.0
323,910476.9999999999,991803.0
324,982543.0,1329008.0
325,1736298.0,1827062.0
326,2253826.0,1949662.0000000002
327,1375194.0,1151703.0
328,551012.0,566812.0
329,1518319.0,1532726.0
330,444537.0,597654.0
331,1192781.0,1042967.0
332,1289552.0,1303506.0
333,1499221.0000000002,1367507.9999999998
334,716521.0,665393.0
335,388759.0,396987.0
336,1396349.0,1402049.0
337,1494121.0,1592877.0
338,536266.0,446472.0
339,1669080.0,1608734.0
340,980578.0,1127281.0
341,1612860.0,1657967.0
342,1872478.0,2017072.0
343,1411581.0,1357780.0
344,1240677.0,1165259.0
345,1594783.0,1488289.0
346,1193479.0,1365817.0
347,1166119.0,1217797.0
348,1342480.0,1452999.0
349,1323425.0,1462080.0
350,1220180.0,1446316.0
351,1300633.0,1253153.0
352,1676842.0,1770942.0
353,1675687.0,1563657.0
354,275261.0,329188.0
355,1724576.0,1853746.0
356,1225512.0,896895.0
357,1059836.0,1111620.0
358,1070068.0,1297882.0
359,1228834.0,1065301.0
360,1625549.0,1423762.0
361,2867855.0,2726814.0
362,1500316.0,1504024.0
363,928113.0,888727.0
364,1668555.0,1520720.0
365,1114097.0,1121208.0
366,1031502.9999999999,1209400.0
367,1210703.0,1073512.0
368,962580.0,988958.0
369,1459401.0,1765494.0
370,1600631.0,1969555.0
371,1420852.0,1276633.0
372,1287828.0,1356003.0
373,1041241.0,1445964.0
374,1418620.0,1350170.0
375,2028730.9999999998,1570608.0
376,1250241.0,922885.0
377,1588174.0,597999.0
378,1375758.0,1417670.0
379,2660014.0,2335357.0
380,1937581.0,1717772.0
381,1294496.0,1655777.0
382,1596403.0000000002,1710513.0000000002
383,901131.0,947646.0
384,821111.0,739369.0
385,1248540.0,955547.0
386,1146725.0,973886.0
387,1719748.0,1479760.0
388,6432403.0,9565282.0
389,357652.0,405048.0
390,340835.0,338663.0
391,2907819.0,2111387.0
392,1155038.0,1098438.0
393,1323149.0,1323373.0
394,2076110.0,2403860.0
395,1180233.0,1162444.0
396,1140166.0,1150521.0
397,1910725.0,1890573.0
398,1161129.0,1244573.0
399,1239984.0,1192320.0
400,1390776.0,1429983.0
401,1800806.0,1769220.0
402,1040116.0,1108733.0
403,1024003.0,946017.0
404,2055218.0,2186567.0
405,1014569.9999999999,881477.0000000001
406,989512.0000000001,892455.0
407,1581549.0,1939801.0
408,1270249.0,1769822.0
409,1537344.0,1617020.0
410,1316341.0,1460914.0
411,1327230.0,1335948.0
412,1160918.0,1035968.0
413,1503537.0,1356992.0
414,1043554.0,1043106.0
415,1442220.0,1608347.0
416,1011085.0,1159952.0
417,1136153.0,1263999.0
418,1785013.0,1834336.0
419,910942.9999999999,880434.0
420,1743561.0,2007437.0
421,1958581.0,1890149.0
422,912311.0,1125486.0
423,962253.9999999999,1061967.0
424,1260008.0,1165008.0
425,1852368.0,2060247.9999999998
426,114281.0,127724.0
427,1690980.0,1732059.0
428,289987.0,290540.0
429,325307.0,379510.0
430,1631518.0,1694949.0
431,680838.0,674535.0
432,1336181.0,1306193.0
433,1587286.0,1515768.0
434,906210.0,838338.0
435,1457880.0,1648758.0
436,879011.0,958506.0
437,1829849.0,1780643.0000000002
438,1329557.0,1171030.0
439,1622821.0,1314233.0
440,1559814.0,1350333.0
441,1395450.0,1512878.0
442,2286336.0,2035175.0
443,1061201.0,819740.0
444,984073.0,1062282.0
445,1735299.0,2267934.0
446,1716594.0,1278810.0
