shutter,position,frame,mean_intensity,total_intensity
on,2,37,3146.269503761574,17397611848
on,2,23,3155.4394607204863,17448318042
on,1,85,3062.3752249710647,16933710044
on,1,91,3061.9206530309607,16931196443
on,1,46,3073.394839952257,16994644107
on,1,52,3071.3727944155094,16983463004
on,0,9,3180.102773618345,17584696297
on,0,59,3147.5722486255786,17404815506
on,0,65,3142.243878580729,17375351751
on,0,71,3139.4418936270254,17359857895
on,0,70,3139.0148978226275,17357496779
on,0,64,3143.3208251953124,17381306835
on,0,58,3146.596456705729,17399419767
on,0,8,3181.2492116970484,17591035641
on,1,53,3071.36663104022,16983428923
on,1,47,3072.35016583478,16988867477
on,1,90,3062.2045401114005,16932766225
on,1,84,3062.899923321759,16936611416
on,2,22,3156.2301880787036,17452690448
on,2,36,3146.9037749565973,17401119114
on,2,20,3158.187648654514,17463514422
on,2,34,3148.2217525679976,17408407003
on,1,92,3061.3617487702545,16928105926
on,1,86,3064.380374891493,16944797721
on,1,79,3064.441117440683,16945133603
on,1,51,3071.3926379846644,16983572731
on,1,45,3073.5789787688077,16995662321
on,0,99,3125.2031615306714,17281123402
on,0,72,3138.4069321469906,17354134972
on,0,66,3141.2547779224537,17369882420
on,0,67,3140.9590243417247,17368247021
on,0,73,3137.427201786748,17348717455
on,0,98,3125.5061501736113,17282798808
on,1,44,3073.719587673611,16996439832
on,1,50,3072.178687789352,16987919272
on,1,78,3064.602943974248,16946028439
on,1,87,3063.8186682581018,16941691708
on,1,93,3060.8599873408566,16925331386
on,2,35,3147.4380320457176,17404073342
on,2,21,3157.1496831597224,17457774888
on,2,19,3158.7678539134836,17466722725
on,1,97,3059.550563151042,16918090794
on,1,83,3062.3008720341436,16933298902
on,2,25,3153.7378381799767,17438908750
on,2,31,3150.7315247034144,17422285039
on,1,54,3070.607683919271,16979232249
on,1,40,3073.9117822265625,16997502591
on,1,68,3067.7883754701966,16963642601
on,0,88,3129.2971298104744,17303761409
on,0,77,3135.4818165870947,17337960253
on,0,63,3143.8149097583914,17384038925
on,0,62,3144.7789899811924,17389369903
on,0,76,3136.20723687066,17341971537
on,0,89,3128.421888020833,17298921672
on,1,69,3067.105212492766,16959864983
on,1,41,3074.675638382523,17001726410
on,1,55,3069.6369739221645,16973864611
on,2,30,3150.9633331524883,17423566847
on,2,24,3154.7116984953705,17444293808
on,1,82,3063.402535264757,16939390659
on,1,96,3059.9525768590856,16920313769
on,2,18,3159.68366265191,17471786781
on,1,80,3064.21783275463,16943898928
on,1,94,3059.9686850766784,16920402841
on,2,32,3149.8928112340855,17417647289
on,2,26,3153.494673574942,17437564147
on,1,43,3073.7036664496527,16996351794
on,1,57,3069.7869446252894,16974693889
on,0,60,3146.998459743924,17401642683
on,0,74,3137.204353117766,17347485191
on,0,48,3152.318910228588,17431062646
on,0,49,3151.401518012153,17425989834
on,0,75,3136.7843813295717,17345162915
on,0,61,3145.3187785734954,17392354718
on,1,56,3070.001438802083,16975879956
on,1,42,3074.00823187934,16998035919
on,2,27,3152.6751294849537,17433032396
on,2,33,3149.3286527054397,17414527718
on,1,95,3060.156552734375,16921441674
on,1,81,3063.6434541377316,16940722844
on,2,54,3137.0476636646413,17346618761
on,2,40,3144.2642279730903,17386523475
on,2,68,3130.017402524595,17307744229
on,1,19,3080.4875596788193,17033864010
on,2,97,3116.8963469328705,17235190040
on,2,83,3122.454992585359,17265927127
on,1,25,3079.1152059823494,17026275443
on,1,31,3077.0587570529515,17014904103
on,1,4,3086.52028338397,17067222559
on,0,12,3176.562126736111,17565117936
on,0,13,3175.3528342013888,17558431032
on,1,5,3085.8896733940974,17063735538
on,1,30,3077.0433130787037,17014818704
on,1,24,3079.2945460792826,17027267122
on,2,82,3123.1968249059605,17270029163
on,2,96,3116.8997759331596,17235209001
on,1,18,3080.798687608507,17035584423
on,2,69,3129.229392361111,17303386848
on,2,41,3143.147742693866,17380349758
on,2,55,3135.8994368489584,17340269526
on,2,43,3142.381505714699,17376112774
on,2,57,3134.966614945023,17335111394
on,2,80,3124.2979248046877,17276117805
on,2,94,3118.2207767288774,17242513607
on,1,32,3076.3291880063657,17010869878
on,1,26,3078.919572663484,17025193669
on,1,7,3084.4490227141205,17055769316
on,0,39,3158.2077379918983,17463625508
on,0,11,3178.057790436921,17573388358
on,0,10,3178.7120381221066,17577006086
on,0,38,3158.787063078704,17466828944
on,1,6,3085.32687463831,17060623486
on,1,27,3077.977930230035,17019986763
on,1,33,3075.920466760706,17008609813
on,2,95,3117.386960720486,17237902938
on,2,81,3123.7731380208334,17273215944
on,2,56,3135.678554506655,17339048135
on,2,42,3143.11506781684,17380169079
on,2,46,3141.3825338179977,17370588859
on,2,52,3138.216707718461,17353083107
on,1,37,3074.8024253110534,17002427491
on,1,23,3079.39669958044,17027831990
on,2,85,3121.814164315683,17262383603
on,2,91,3118.502853009259,17244073376
on,1,2,3088.5717136863427,17078566148
on,0,14,3174.9037762225116,17555947921
on,0,28,3167.4569185836226,17514769777
on,2,8,3170.1854211877894,17529857305
on,2,9,3168.550353732639,17520816036
on,0,29,3165.2653125,17502651072
on,0,15,3173.7724077690973,17549691906
on,1,3,3087.3198860677085,17071644042
on,2,90,3119.6625321903934,17250485938
on,2,84,3122.5210734953703,17266292528
on,1,22,3079.172045175058,17026589741
on,1,36,3075.158072193287,17004394076
on,2,53,3137.1358315248845,17347106294
on,2,47,3140.540398943866,17365932190
on,2,79,3124.700855396412,17278345850
on,2,51,3138.378845666956,17353979665
on,2,45,3141.6907669632524,17372293265
on,1,20,3080.044020724826,17031411417
on,1,34,3075.5308852358216,17006455583
on,2,92,3118.3866256148726,17243430685
on,2,86,3121.4245428240743,17260229152
on,1,1,3090.651390697338,17090065930
on,0,17,3172.236271520544,17541197687
on,0,16,3173.2954278790507,17547054398
on,2,87,3120.718541124132,17256325245
on,2,93,3118.4958295355905,17244034539
on,1,35,3075.3882195818865,17005666699
on,1,21,3079.454841760706,17028153493
on,2,44,3142.1147898582176,17374637942
on,2,50,3139.3969860387733,17359609574
on,2,78,3125.6497889539933,17283593073
on,2,75,3126.6892961516205,17289341132
on,2,61,3133.6325896990743,17327734768
on,2,49,3139.2546180555555,17358822336
on,1,38,3074.3348488136576,16999841980
on,1,10,3083.1710807291665,17048702808
on,2,100,3116.406128833912,17232479330
on,0,27,3168.4881664134837,17520472165
on,0,33,3160.919943033854,17478622917
on,2,7,3171.234486038773,17535658214
on,2,6,3172.964997829861,17545227252
on,0,100,3124.389144965278,17276622216
on,0,32,3162.2313404224537,17485874420
on,0,26,3169.6251047092014,17526758979
on,1,11,3082.5084859664353,17045038924
on,1,39,3074.194144784433,16999063943
on,2,48,3139.8162196180556,17361927768
on,2,60,3133.9651280381945,17329573572
on,2,74,3127.0577426938657,17291378494
on,2,62,3132.712155852141,17322645137
on,2,76,3126.4363970269096,17287942701
on,1,13,3081.8507268156827,17041401779
on,2,89,3120.1336901403356,17253091253
on,0,18,3171.113691225405,17534990267
on,0,30,3164.160893735532,17496544078
on,0,24,3167.502204499421,17515020190
on,2,4,3176.462664388021,17564567949
on,2,5,3174.488366970486,17553650874
on,0,25,3168.0161980975117,17517862369
on,0,31,3163.260706741898,17491566404
on,0,19,3170.2512002676503,17530221037
on,2,88,3120.634359266493,17255859753
on,1,12,3082.1301692708334,17042946984
on,2,77,3125.7722149884257,17284270040
on,2,63,3132.218040907118,17319912879
on,2,67,3130.390945457176,17309809772
on,2,73,3127.0158624493633,17291146913
on,2,98,3116.6353803168404,17233746999
on,1,16,3081.2669462528934,17038173706
on,0,35,3162.259580078125,17486030574
on,0,21,3169.7223133680554,17527296504
on,2,1,3182.3710680700233,17597239058
on,0,20,3170.5212997323497,17531714579
on,0,34,3161.6034123625577,17482402229
on,1,17,3081.0203110532407,17036809912
on,2,99,3116.7958213975694,17234634174
on,2,72,3127.9305506727433,17296204773
on,2,66,3130.869450954861,17312455716
on,2,58,3134.6753040002895,17333500561
on,2,70,3128.938619068287,17301778988
on,2,64,3132.3968592664933,17320901673
on,1,15,3081.8772649016205,17041548524
on,1,29,3077.8832939091435,17019463462
on,1,8,3084.0965554470486,17053820313
on,0,22,3168.9403208188655,17522972398
on,0,36,3161.300222077546,17480725708
on,2,2,3179.13220703125,17579329452
on,2,3,3177.977820276331,17572946155
on,0,37,3159.921158311632,17473100037
on,0,23,3167.768126627604,17516490633
on,1,9,3083.758941695602,17051953444
on,1,28,3077.841711335359,17019233527
on,1,100,3058.6742805989584,16913245302
on,1,14,3082.0240919777198,17042360419
on,2,65,3131.539656575521,17316161685
on,2,71,3128.9542603443288,17301865478
on,2,59,3133.852538881655,17328950999
on,1,98,3059.027793149595,16915200085
on,2,16,3161.651965603299,17482670709
on,1,67,3067.5125376157407,16962117328
on,1,73,3066.203595739294,16954879403
on,0,87,3130.0447744864005,17307895585
on,0,93,3127.548517975984,17294092285
on,0,78,3134.7693724681712,17334020722
on,0,44,3155.721466652199,17449877422
on,0,50,3150.6273113787615,17421708781
on,0,51,3149.8661707899305,17417499978
on,0,45,3154.999929651331,17445887611
on,0,79,3134.272523148148,17331273344
on,0,92,3127.68145489728,17294827373
on,0,86,3130.640601128472,17311190268
on,0,1,3194.0994757306134,17662092461
on,1,72,3067.10630895544,16959871046
on,1,66,3068.009023256655,16964862695
on,2,17,3160.36542010272,17475556627
on,1,99,3058.668576027199,16913213758
on,2,15,3162.459840133102,17487137932
on,2,29,3151.1448533347802,17424570581
on,1,58,3069.7415404369212,16974442822
on,1,70,3067.087925889757,16959769395
on,1,64,3068.5877625868056,16968062892
on,0,3,3189.2662447554976,17635366627
on,0,90,3129.463604239005,17304681946
on,0,84,3131.968412543403,17318532534
on,0,53,3148.644728913484,17410745893
on,0,47,3153.0987216073495,17435374691
on,0,46,3153.6527213541667,17438438088
on,0,52,3149.114138997396,17413341543
on,0,85,3131.4053367332176,17315418950
on,0,91,3128.366077654803,17298613063
on,0,2,3191.2832991536457,17646520131
on,1,65,3068.1949703414352,16965890908
on,1,71,3066.9614377170137,16959069966
on,1,59,3069.4052023654513,16972583007
on,2,28,3152.052176468461,17429587715
on,2,14,3163.5062937644675,17492924402
on,2,38,3145.417859519676,17392902596
on,2,10,3167.4576416015625,17514773775
on,1,75,3064.8384112774884,16947330479
on,1,61,3069.200603298611,16971451656
on,1,49,3072.666867042824,16990618708
on,0,95,3125.6664254195603,17283685066
on,0,81,3133.4762179904515,17326870095
on,0,6,3184.248125180845,17607618433
on,0,56,3147.8262277560766,17406219909
on,0,42,3158.1664693648727,17463397309
on,0,43,3156.2868997757523,17453004041
on,0,57,3147.3348665364583,17403502878
on,0,7,3182.6462456597224,17598760680
on,0,80,3134.1279204644097,17330473749
on,0,94,3126.3792350260414,17287626618
on,1,48,3072.5884740306715,16990185226
on,1,60,3069.05353479456,16970638426
on,1,74,3065.655619574653,16951849314
on,2,11,3165.9686574074076,17506540288
on,2,39,3144.7550831886574,17389237708
on,2,13,3163.9416247106483,17495331608
on,1,89,3062.7249835431135,16935644069
on,1,62,3068.929794560185,16969954192
on,1,76,3065.033198784722,16948407576
on,0,82,3132.9851716218172,17324154805
on,0,96,3125.4606467013887,17282547192
on,0,5,3185.49416087963,17614508512
on,0,41,3156.0695712167244,17451802301
on,0,55,3146.8526830150463,17400836596
on,0,69,3139.367117151331,17359444411
on,0,68,3140.0503855613424,17363222612
on,0,54,3147.798654513889,17406067440
on,0,40,3157.3322444661458,17458784379
on,0,4,3187.4561688006365,17625357631
on,0,97,3124.82854437934,17279051919
on,0,83,3132.804390371817,17323155157
on,1,77,3065.0370511429396,16948428878
on,1,63,3068.6177855541087,16968228907
on,1,88,3063.508458658854,16939976373
on,2,12,3164.9518721064815,17500917872
off,0,72,3036.961589626736,16793182806
off,0,66,3041.4284185112847,16817882583
off,0,99,3018.158734266493,16689210537
off,2,52,3055.1229383680557,16893607800
off,2,46,3060.136882957176,16921332908
off,2,91,3024.7446813512734,16725628190
off,2,85,3029.246899956597,16750523658
off,1,23,3138.9165030020254,17356952695
off,1,37,3124.8048551432294,17278920927
off,1,36,3125.5298366970487,17282929785
off,1,22,3140.439159613715,17365372377
off,2,84,3029.680714879919,16752922481
off,2,90,3025.420639829282,16729365970
off,2,47,3059.1560517939815,16915909304
off,2,53,3054.165368742766,16888312823
off,0,98,3018.6630269820603,16691999074
off,0,67,3040.587740523727,16813233970
off,0,73,3035.5004616970486,16785103353
off,0,59,3046.561316731771,16846265457
off,0,65,3042.3755635127313,16823119916
off,0,71,3037.1641203703703,16794302720
off,2,45,3061.1820104528356,16927112045
off,2,51,3056.0198113787615,16898567149
off,2,79,3033.434461624711,16773679199
off,2,86,3028.2207414641202,16744849412
off,2,92,3024.2705103443286,16723006214
off,1,34,3127.3259894024886,17292861791
off,1,20,3142.9839071542247,17379443813
off,1,21,3141.7611047815394,17372682205
off,1,35,3126.4789702690973,17288178114
off,2,93,3023.5207141565393,16718860141
off,2,87,3027.9159036820024,16743163781
off,2,78,3034.15382740162,16777657004
off,2,50,3056.8573846209492,16903198594
off,2,44,3062.281667751736,16933192710
off,0,70,3037.944058340567,16798615465
off,0,64,3043.368220847801,16828608914
off,0,58,3047.334712999132,16850542029
off,0,9,3089.7153076171876,17084889765
off,0,60,3045.8544440827545,16842356734
off,0,74,3034.5944500506366,16780093471
off,0,48,3054.837810510706,16892031157
off,2,68,3041.4347900390626,16817917815
off,2,40,3065.966609519676,16953568964
off,2,54,3053.350893012153,16883809098
off,1,31,3130.6167494936344,17311058378
off,1,25,3136.40729474103,17343077777
off,2,83,3030.5533454499423,16757747779
off,2,97,3020.6821851490163,16703164211
off,1,19,3143.4641514756945,17382099372
off,1,18,3144.750041051794,17389209827
off,2,96,3021.3868482349535,16707060716
off,2,82,3031.559442093461,16763311091
off,1,24,3137.3678275101274,17348389139
off,1,30,3131.6439286747686,17316738268
off,2,55,3051.5081356698497,16873619387
off,2,41,3064.949732168692,16947946039
off,2,69,3040.633639142072,16813487771
off,0,49,3054.0853761574076,16887870496
off,0,75,3033.78891547309,16775639187
off,0,61,3045.5040690104165,16840419300
off,0,8,3090.923283420139,17091569388
off,0,77,3032.56497052228,16768871261
off,0,63,3044.051087601273,16832384894
off,0,88,3025.3005848524303,16728702114
off,2,57,3049.91144567419,16864790330
off,2,43,3063.214056170428,16938348445
off,1,26,3135.1653307653355,17336210213
off,1,32,3129.4368523943867,17304534019
off,2,94,3022.6586686197916,16714093374
off,2,80,3032.938628653067,16770937441
off,2,81,3032.5761322699655,16768932981
off,2,95,3022.039880642361,16710671724
off,1,33,3128.325113570602,17298386548
off,1,27,3134.728157913773,17333792822
off,2,42,3064.386925998264,16944833946
off,2,56,3050.89768536603,16870243841
off,0,89,3024.6344659649885,16725018743
off,0,62,3045.235024052373,16838931589
off,0,76,3033.2725569661457,16772783931
off,0,39,3062.6655045572916,16935315174
off,0,11,3087.016890552662,17069968598
off,1,7,3159.3668252676503,17470034797
off,2,31,3074.5737867115163,17001163211
off,2,25,3080.1165961371526,17031812730
off,1,83,3085.4368919994213,17061231838
off,1,97,3074.839771592882,17002634001
off,2,19,3086.3213879846644,17066122747
off,1,68,3097.8859677010996,17130070247
off,1,40,3122.4046920211226,17265648985
off,1,54,3108.777764033565,17190297524
off,1,55,3107.7833430989585,17184798774
off,1,41,3121.6860514322916,17261675190
off,1,69,3096.7271202256943,17123662284
off,2,18,3087.2008948206017,17070986068
off,1,96,3075.7514008246526,17007674946
off,1,82,3086.4955497685187,17067085792
off,2,24,3080.75235297309,17035328211
off,2,30,3075.3013407841436,17005186294
off,1,6,3161.054052734375,17479364490
off,0,10,3088.5136570457175,17078245118
off,0,38,3063.4148110170718,16939458539
off,0,12,3086.5010186993636,17067116033
off,1,4,3164.2353427010994,17496955751
off,1,100,3072.7915816695604,16991308330
off,2,26,3078.8504144965277,17024811252
off,2,32,3073.4521804470487,16994961177
off,1,94,3077.2035259331597,17015704617
off,1,80,3087.8918956163193,17074807026
off,1,57,3105.9402625868056,17174607276
off,1,43,3119.191944625289,17247883777
off,1,42,3120.8325567853008,17256955706
off,1,56,3106.7611942997687,17179146700
off,1,81,3087.239514069734,17071199617
off,1,95,3076.5211769386574,17011931500
off,2,33,3072.6301236979166,16990415532
off,2,27,3078.0414476634837,17020337989
off,1,5,3162.303666630498,17486274355
off,0,13,3085.1858877676505,17059843885
off,0,17,3081.8661999059605,17041487339
off,1,1,3171.270708731192,17535858511
off,1,91,3080.006498300058,17031203933
off,1,85,3084.5188756872108,17056155575
off,2,23,3082.000027488426,17042227352
off,2,37,3068.2634765625,16966269720
off,1,52,3110.5677938729746,17200195673
off,1,46,3116.5344325086808,17233188798
off,1,47,3115.287662760417,17226294660
off,1,53,3109.4147395833334,17193819744
off,2,36,3068.983632993345,16970251897
off,2,22,3082.649503761574,17045818696
off,1,84,3085.28449182581,17060389126
off,1,90,3080.2537273943867,17032571011
off,0,16,3082.5959223090276,17045522412
off,2,100,3018.225256076389,16689578376
off,0,14,3084.0849786603007,17053756298
off,0,28,3071.9154342086226,16986463585
off,1,2,3168.863450882523,17522547338
off,1,86,3083.571066442419,17050914569
off,1,92,3079.217761863426,17026842536
off,2,8,3099.1786948423032,17137218511
off,2,34,3071.513070746528,16984238676
off,2,20,3085.5455092592592,17061832448
off,1,45,3117.4732579210067,17238380127
off,1,51,3111.4954752604167,17205325380
off,1,79,3088.6745439091437,17079134758
off,1,78,3089.2552038122108,17082345575
off,1,50,3112.675537109375,17211850650
off,1,44,3118.641170066551,17244838214
off,2,21,3083.9101202618635,17052789401
off,2,9,3097.679259982639,17128927236
off,2,35,3069.949179506655,16975590983
off,1,93,3078.0783993417244,17020542317
off,1,87,3083.1782751012734,17048742590
off,1,3,3166.19873119213,17507812504
off,0,29,3070.9615104166664,16981188768
off,0,15,3083.7144422743054,17051707380
off,0,18,3080.9451515480323,17036394310
off,0,30,3070.143826135706,16976667301
off,0,24,3075.3233465350118,17005307977
off,2,10,3096.2278777850115,17120901673
off,2,4,3105.9133610026042,17174458521
off,2,38,3067.606030996817,16962634309
off,1,49,3113.6260456452546,17217106582
off,1,61,3103.275521737558,17159872325
off,1,75,3091.777541413484,17096293093
off,1,74,3092.540962999132,17100514509
off,1,60,3104.274005353009,17165393540
off,1,48,3114.773159903067,17223449665
off,2,5,3104.2343408203124,17165174211
off,2,39,3066.8548875144675,16958480786
off,2,11,3095.1859615523726,17115140293
off,0,25,3074.9755732783565,17003384930
off,0,31,3069.527966941551,16973261846
off,0,19,3079.984269929109,17031081019
off,0,27,3073.279998010706,16994009077
off,0,33,3067.5909754774307,16962551058
off,1,89,3081.7688820167823,17040949210
off,2,13,3092.8204490379053,17102059955
off,2,7,3100.8976613136574,17146723708
off,1,76,3091.0775325520835,17092422324
off,1,62,3102.41610405816,17155120089
off,1,63,3101.378239836516,17149381115
off,1,77,3090.6365757016783,17089984009
off,2,6,3102.5771450014468,17156010581
off,2,12,3094.033410192419,17108767145
off,1,88,3082.3321477141203,17044063844
off,0,32,3068.456355432581,16967336263
off,0,26,3073.939021448206,16997653213
off,0,22,3076.9103175636574,17014083292
off,0,36,3065.236669560185,16949532688
off,1,8,3158.3653580729165,17464497084
off,2,2,3109.54525354456,17194541434
off,2,16,3089.0869180410878,17081415022
off,1,98,3074.059807038484,16998321109
off,1,73,3093.1576390697337,17103924481
off,1,67,3098.5490556278937,17133736858
off,1,66,3099.1059186921298,17136816088
off,1,72,3094.0222059461807,17108705190
off,1,99,3073.598931206597,16995772650
off,2,17,3088.1158781828703,17076045560
off,2,3,3108.281091399016,17187551123
off,1,9,3156.9454644097223,17456645640
off,0,37,3064.247927336516,16944065339
off,0,23,3075.94288067853,17008733753
off,0,35,3066.03496129919,16953946922
off,0,21,3077.6909561270254,17018399911
off,2,29,3076.130521195023,17009771330
off,2,1,3112.6838751446758,17211896756
off,2,15,3090.208786711516,17087618507
off,1,64,3100.651195565683,17145360851
off,1,70,3095.730026041667,17118148752
off,1,58,3105.7879173900465,17173764868
off,1,59,3104.560179578993,17166975969
off,1,71,3095.3569035734954,17116085534
off,1,65,3099.5475171802664,17139257951
off,2,14,3091.1974851707178,17093085614
off,2,28,3077.233918547454,17015872676
off,0,20,3079.024154730903,17025771966
off,0,34,3067.015595341435,16959369436
off,0,6,3092.937829680266,17102709023
off,0,53,3050.912733832465,16870327053
off,0,47,3055.524561812789,16895828617
off,0,90,3023.825090241609,16720543219
off,0,84,3027.880412326389,16742967528
off,2,73,3037.605777271412,16796744906
off,2,67,3042.0637116608796,16821395500
off,1,16,3147.0573661747685,17401968412
off,2,98,3019.7506848596645,16698013387
off,2,99,3019.070478515625,16694252118
off,1,17,3145.8152575231484,17395100048
off,2,66,3042.606656901042,16824397770
off,2,72,3038.4655069082755,16801498867
off,0,85,3026.9947808159723,16738070340
off,0,91,3023.09259801794,16716492830
off,0,46,3055.9180088975695,16898004222
off,0,52,3051.724066478588,16874813398
off,0,7,3092.144870334201,17098324275
off,0,5,3093.9481962528935,17108295946
off,0,78,3032.435185908565,16768153604
off,0,44,3058.182622974537,16910526632
off,0,50,3053.101103515625,16882427862
off,0,87,3025.928672417535,16732175187
off,0,93,3021.781347113715,16709242137
off,2,64,3044.5951457609954,16835393318
off,2,70,3039.994243525752,16809952169
off,2,58,3048.928269495081,16859353759
off,1,29,3132.2772318070024,17320240181
off,1,15,3148.5575464771414,17410263809
off,1,14,3149.623744032118,17416159455
off,1,28,3133.0903012876156,17324736130
off,2,59,3048.144762369792,16855021278
off,2,71,3038.92608380353,16804045673
off,2,65,3043.802404694734,16831009777
off,0,92,3022.601429940683,16713776867
off,0,86,3026.399437391493,16734778329
off,0,51,3052.3215169270834,16878117060
off,0,45,3057.1676003689236,16904913963
off,0,79,3031.713202944155,16764161327
off,0,4,3095.1199285662615,17114775157
off,0,41,3060.6668587239583,16924263462
off,0,55,3049.831054506655,16864345799
off,0,69,3038.5361903211806,16801889718
off,0,82,3028.982217520255,16749060070
off,0,96,3019.971771014178,16699235905
off,2,49,3057.689419668692,16907799415
off,2,61,3046.8831882957174,16848045278
off,2,75,3036.0309485315393,16788036733
off,1,10,3155.2604890046296,17447328400
off,1,38,3123.9634563078703,17274268328
off,1,39,3123.07257776331,17269342126
off,1,11,3153.6354946108218,17438342831
off,2,74,3037.145793366609,16794201379
off,2,60,3047.6239861834492,16852141594
off,2,48,3058.142800745081,16910306431
off,0,97,3019.3027996600117,16695536761
off,0,83,3028.5045580150463,16746418804
off,0,68,3039.4558716724537,16806975188
off,0,54,3050.3679616970485,16867314681
off,0,40,3061.3775182653358,16928193125
off,0,1,3098.713691948785,17134647231
off,0,100,3016.926054868345,16682394313
off,0,3,3096.2404622395834,17120971260
off,0,56,3049.165643265336,16860666341
off,0,42,3059.8256240957753,16919611771
off,0,95,3020.1361476417824,16700144842
off,0,81,3030.340271086516,16756569563
off,2,76,3035.545694986979,16785353475
off,2,62,3046.002970739294,16843178027
off,2,89,3026.137307038484,16733328853
off,1,13,3150.882353877315,17423119064
off,1,12,3152.2694988787616,17430789421
off,2,88,3026.7237252242476,16736571511
off,2,63,3045.1723744936344,16838585162
off,2,77,3035.0165455005786,16782427490
off,0,80,3030.912789171007,16759735359
off,0,94,3021.054102828414,16705220767
off,0,43,3058.8985239438657,16914485278
off,0,57,3048.459478262442,16856761531
off,0,2,3097.793132776331,17129556907
