date,clock_time,elapsed_time_min,absorbance,atc_ngml,iptg_mM
20180216,08h27m,57,0,5,0
20180216,08h27m,57,0,5,0
20180216,08h28m,58,0,5,0
20180216,09h18m,108,0.01,5,0
20180216,09h19m,109,0,5,0
20180216,09h19m,109,0.02,5,0
20180216,10h25m,175,0.01,5,0
20180216,10h26m,176,0,5,0
20180216,10h26m,176,0.01,5,0
20180216,11h35m,245,0.01,5,0
20180216,11h37m,247,0,5,0
20180216,11h37m,247,0.01,5,0
20180216,12h34m,304,0,5,0
20180216,12h34m,304,0.02,5,0
20180216,12h35m,305,0.02,5,0
20180216,13h37m,367,0.04,5,0
20180216,13h38m,368,0.05,5,0
20180216,13h38m,368,0.03,5,0
20180216,14h10m,400,0.03,5,0
20180216,14h11m,401,0.05,5,0
20180216,14h11m,401,0.05,5,0
20180216,14h.46m,436,0.1,5,0
20180216,14h47m,436,0.06,5,0
20180216,14h47m,436,0.06,5,0
20180216,15h21m,470,0.14,5,0
20180216,15h22m,471,0.11,5,0
20180216,15h23m,472,0.14,5,0
20180216,15h53m,502,0.17,5,0
20180216,15h54m,503,0.17,5,0
20180216,15h54m,503,0.16,5,0
20180216,16h08m,517,0.26,5,0
20180216,16h09m,518,0.19,5,0
20180216,16h09m,518,0.19,5,0
20180216,16h23m,532,0.24,5,0
20180216,16h23m,532,0.2,5,0
20180216,16h24m,533,0.18,5,0
20180216,16h35m,544,0.24,5,0
20180216,16h36m,546,0.25,5,0
20180216,16h37m,547,0.24,5,0
20180216,16h50m,560,0.26,5,0
20180216,16h50m,560,0.27,5,0
20180216,16h51m,561,0.24,5,0
20180216,17h02m,575,0.28,5,0
20180216,17h02m,575,0.29,5,0
20180216,17h03m,576,0.28,5,0
20180216,17h15m,588,0.35,5,0
20180216,17h15m,588,0.34,5,0
20180216,17h16m,589,0.32,5,0
20180216,17h29m,602,0.37,5,0
20180216,17h29m,602,0.39,5,0
20180216,17h30m,603,0.39,5,0
20180216,17h51m,624,0.41,5,0
20180216,17h52m,625,0.41,5,0
20180216,17h52m,625,0.41,5,0
20180216,18h12m,645,0.4,5,0
20180216,18h13m,646,0.43,5,0
20180216,18h13m,646,0.42,5,0
20180216,18h34m,667,0.43,5,0
20180216,18h34m,667,0.5,5,0
20180216,18h35m,668,0.46,5,0
20180216,18h51m,684,0.45,5,0
20180216,18h52m,685,0.46,5,0
20180216,18h52m,685,0.53,5,0
20180216,19h15m,681,0.41,5,0
20180216,19h15m,681,0.5,5,0
20180216,19h16m,682,0.6,5,0
20180216,19h29m,695,0.55,5,0
20180216,19h29m,695,0.64,5,0
20180216,19h30m,696,0.64,5,0
20180216,19h54m,720,0.71,5,0
20180216,19h55m,721,0.79,5,0
20180216,19h55m,721,0.76,5,0
20180216,20h10m,736,0.93,5,0
20180216,20h11m,737,0.72,5,0
20180216,20h11m,737,0.77,5,0
20180216,20h20m,746,0.64,5,0
20180216,20h21m,747,0.69,5,0
20180216,20h22m,748,0.72,5,0
20180216,20h44m,770,1,5,0
20180216,20h44m,770,0.86,5,0
20180216,20h45m,771,1.02,5,0