clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date,,,,,
09h04m,9,0.07,1,glycerol,37,O2,20180926,,,,,
09h04m,9,0.07,1,glycerol,37,O2,20180926,,,,,
09h04m,9,0.07,1,glycerol,37,O2,20180926,,,,,
09h19m,24,0.08,1,glycerol,37,O2,20180926,,,,,
09h19m,24,0.08,1,glycerol,37,O2,20180926,,,,,
09h19m,24,0.08,1,glycerol,37,O2,20180926,,,,,
09h51m,56,0.09,1,glycerol,37,O2,20180926,,,,,
09h51m,56,0.09,1,glycerol,37,O2,20180926,,,,,
09h51m,56,0.09,1,glycerol,37,O2,20180926,,,,,
10h21m,86,0.13,1,glycerol,37,O2,20180926,,,,,
10h21m,86,0.13,1,glycerol,37,O2,20180926,,,,,
10h21m,86,0.13,1,glycerol,37,O2,20180926,,,,,
10h51m,116,0.16,1,glycerol,37,O2,20180926,,,,,
10h51m,116,0.16,1,glycerol,37,O2,20180926,,,,,
10h51m,116,0.16,1,glycerol,37,O2,20180926,,,,,
11h20m,145,0.2,1,glycerol,37,O2,20180926,,,,,
11h20m,145,0.2,1,glycerol,37,O2,20180926,,,,,
11h20m,145,0.2,1,glycerol,37,O2,20180926,,,,,   
11h51m,176,0.23,1,glycerol,37,O2,20180926,,,,,
11h51m,176,0.23,1,glycerol,37,O2,20180926,,,,,
11h51m,176,0.23,1,glycerol,37,O2,20180926,,,,,
12h19m,204,0.27,1,glycerol,37,O2,20180926,,,,,
12h19m,204,0.27,1,glycerol,37,O2,20180926,,,,,
12h19m,204,0.27,1,glycerol,37,O2,20180926,,,,,
12h56m,241,0.36,1,glycerol,37,O2,20180926,,,,,
12h56m,241,0.36,1,glycerol,37,O2,20180926,,,,,
12h56m,241,0.36,1,glycerol,37,O2,20180926,,,,,
13h19m,264,0.42,1,glycerol,37,O2,20180926,,,,,
13h19m,264,0.42,1,glycerol,37,O2,20180926,,,,,
13h19m,264,0.42,1,glycerol,37,O2,20180926,,,,,
13h50m,295,0.49,1,glycerol,37,O2,20180926,,,,,
13h50m,295,0.49,1,glycerol,37,O2,20180926,,,,,
13h50m,295,0.49,1,glycerol,37,O2,20180926,,,,,
14h20m,325,0.56,1,glycerol,37,O2,20180926,,,,,
14h20m,325,0.56,1,glycerol,37,O2,20180926,,,,,
14h20m,325,0.56,1,glycerol,37,O2,20180926,,,,,
14h49m,354,0.62,1,glycerol,37,O2,20180926,,,,,
14h49m,354,0.62,1,glycerol,37,O2,20180926,,,,,
14h49m,354,0.62,1,glycerol,37,O2,20180926,,,,,
15h19m,384,0.68,1,glycerol,37,O2,20180926,,,,,
15h19m,384,0.68,1,glycerol,37,O2,20180926,,,,,
15h19m,384,0.68,1,glycerol,37,O2,20180926,,,,,
15h40m,405,0.71,1,glycerol,37,O2,20180926,,,,,
15h40m,405,0.71,1,glycerol,37,O2,20180926,,,,,
15h40m,405,0.71,1,glycerol,37,O2,20180926,,,,,
16h10m,435,0.79,1,glycerol,37,O2,20180926,,,,,
16h10m,435,0.79,1,glycerol,37,O2,20180926,,,,,
16h10m,435,0.79,1,glycerol,37,O2,20180926,,,,,
16h39m,464,0.85,1,glycerol,37,O2,20180926,,,,,
16h39m,464,0.85,1,glycerol,37,O2,20180926,,,,,
16h39m,464,0.85,1,glycerol,37,O2,20180926,,,,,
17h12m,497,0.92,1,glycerol,37,O2,20180926,,,,,
17h12m,497,0.92,1,glycerol,37,O2,20180926,,,,,
17h12m,497,0.92,1,glycerol,37,O2,20180926,,,,,
17h42m,527,0.97,1,glycerol,37,O2,20180926,,,,,
17h42m,527,0.97,1,glycerol,37,O2,20180926,,,,,
17h42m,527,0.97,1,glycerol,37,O2,20180926,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,        