parameter,value,well_id,carbon,strain
max df,0.010331800063640827,26,glucose,manuel_delta
lag time std,2.2031805962108337,26,glucose,manuel_delta
lag time,141.43491784663632,26,glucose,manuel_delta
max y stderr,0.00030718685752298235,26,glucose,manuel_delta
max y std,0.0030718685752298236,26,glucose,manuel_delta
max y,0.20852305477740482,26,glucose,manuel_delta
inverse max df stderr,0.05436115188563032,26,glucose,manuel_delta
lag time stderr,0.22031805962108336,26,glucose,manuel_delta
inverse max df,67.09313004253903,26,glucose,manuel_delta
time of max df stderr,0.45365184888855026,26,glucose,manuel_delta
time of max df std,4.536518488885503,26,glucose,manuel_delta
time of max df,276.3666666666667,26,glucose,manuel_delta
max df stderr,8.393290886117515e-06,26,glucose,manuel_delta
max df std,8.393290886117514e-05,26,glucose,manuel_delta
inverse max df std,0.5436115188563032,26,glucose,manuel_delta
max df stderr,1.3316352083866959e-05,27,glucose,manuel_delta
time of max df,232.6866666666666,27,glucose,manuel_delta
time of max df std,5.00095990785769,27,glucose,manuel_delta
time of max df stderr,0.500095990785769,27,glucose,manuel_delta
inverse max df,56.799545571038905,27,glucose,manuel_delta
inverse max df stderr,0.061695914295253215,27,glucose,manuel_delta
max y stderr,0.0003738427778111542,27,glucose,manuel_delta
max y std,0.0037384277781115417,27,glucose,manuel_delta
lag time,117.89804485152375,27,glucose,manuel_delta
lag time std,2.1592405892175845,27,glucose,manuel_delta
lag time stderr,0.21592405892175845,27,glucose,manuel_delta
max df std,0.00013316352083866958,27,glucose,manuel_delta
max y,0.20405908183753094,27,glucose,manuel_delta
max df,0.01220483933949156,27,glucose,manuel_delta
inverse max df std,0.6169591429525322,27,glucose,manuel_delta
lag time stderr,0.22591669656742314,28,glucose,manuel_delta
max df,0.011210153920817669,28,glucose,manuel_delta
max df std,0.00010973373733208142,28,glucose,manuel_delta
max df stderr,1.0973373733208142e-05,28,glucose,manuel_delta
time of max df,259.4266666666667,28,glucose,manuel_delta
time of max df std,4.469049115863475,28,glucose,manuel_delta
time of max df stderr,0.44690491158634754,28,glucose,manuel_delta
lag time std,2.2591669656742313,28,glucose,manuel_delta
inverse max df std,0.6027493145849081,28,glucose,manuel_delta
inverse max df stderr,0.06027493145849081,28,glucose,manuel_delta
max y,0.20391676182874696,28,glucose,manuel_delta
max y std,0.0034155517044133846,28,glucose,manuel_delta
max y stderr,0.00034155517044133846,28,glucose,manuel_delta
lag time,126.05924352702951,28,glucose,manuel_delta
inverse max df,61.83798385367646,28,glucose,manuel_delta
max df std,0.00014447858276482592,29,glucose,manuel_delta
max df stderr,1.4447858276482592e-05,29,glucose,manuel_delta
time of max df,240.3166666666666,29,glucose,manuel_delta
time of max df std,5.273281710661776,29,glucose,manuel_delta
time of max df stderr,0.5273281710661777,29,glucose,manuel_delta
inverse max df,59.05194502300868,29,glucose,manuel_delta
max y std,0.004138335648066024,29,glucose,manuel_delta
inverse max df stderr,0.07272903693856696,29,glucose,manuel_delta
max y,0.21213890406657082,29,glucose,manuel_delta
max y stderr,0.00041383356480660243,29,glucose,manuel_delta
lag time,121.09107601918772,29,glucose,manuel_delta
lag time std,2.674312941936016,29,glucose,manuel_delta
max df,0.011739702061398776,29,glucose,manuel_delta
inverse max df std,0.7272903693856696,29,glucose,manuel_delta
lag time stderr,0.26743129419360157,29,glucose,manuel_delta
max df,0.011161633616214884,79,glucose,manuel_delta
max df stderr,1.0954869800971286e-05,79,glucose,manuel_delta
lag time std,2.794477614344964,79,glucose,manuel_delta
lag time,136.36780047479138,79,glucose,manuel_delta
max y stderr,0.00047753167584751343,79,glucose,manuel_delta
max y std,0.004775316758475134,79,glucose,manuel_delta
max y,0.2320069254380909,79,glucose,manuel_delta
max df std,0.00010954869800971286,79,glucose,manuel_delta
inverse max df stderr,0.060974447527849904,79,glucose,manuel_delta
inverse max df std,0.6097444752784991,79,glucose,manuel_delta
inverse max df,62.10685593207354,79,glucose,manuel_delta
time of max df stderr,0.5887911344441251,79,glucose,manuel_delta
time of max df std,5.887911344441251,79,glucose,manuel_delta
time of max df,275.31666666666666,79,glucose,manuel_delta
lag time stderr,0.2794477614344964,79,glucose,manuel_delta
lag time stderr,0.17121268661677255,80,glucose,manuel_delta
lag time,134.28085674562564,80,glucose,manuel_delta
max df std,9.458223987069962e-05,80,glucose,manuel_delta
max df stderr,9.458223987069962e-06,80,glucose,manuel_delta
time of max df,261.31666666666666,80,glucose,manuel_delta
time of max df std,4.357464859296062,80,glucose,manuel_delta
time of max df stderr,0.4357464859296062,80,glucose,manuel_delta
inverse max df,58.32073938289285,80,glucose,manuel_delta
inverse max df std,0.4647576172796675,80,glucose,manuel_delta
inverse max df stderr,0.046475761727966754,80,glucose,manuel_delta
max y,0.2042558386569384,80,glucose,manuel_delta
max y std,0.0030798406904866413,80,glucose,manuel_delta
max y stderr,0.0003079840690486641,80,glucose,manuel_delta
max df,0.011885842729946416,80,glucose,manuel_delta
lag time std,1.7121268661677256,80,glucose,manuel_delta
inverse max df std,0.5170345251951675,81,glucose,manuel_delta
max df,0.0119833538041876,81,glucose,manuel_delta
max df std,0.00010696433015953983,81,glucose,manuel_delta
max df stderr,1.0696433015953983e-05,81,glucose,manuel_delta
time of max df,240.5966666666666,81,glucose,manuel_delta
time of max df std,6.142076196205969,81,glucose,manuel_delta
lag time stderr,0.22265196027748999,81,glucose,manuel_delta
time of max df stderr,0.6142076196205969,81,glucose,manuel_delta
inverse max df,57.84711804394097,81,glucose,manuel_delta
inverse max df stderr,0.051703452519516746,81,glucose,manuel_delta
max y,0.20278840233152892,81,glucose,manuel_delta
max y std,0.0035486861708236496,81,glucose,manuel_delta
max y stderr,0.00035486861708236496,81,glucose,manuel_delta
lag time,115.27193499471832,81,glucose,manuel_delta
lag time std,2.2265196027749,81,glucose,manuel_delta
max df std,8.00262070413658e-05,82,glucose,manuel_delta
max df,0.011071236866209512,82,glucose,manuel_delta
inverse max df std,0.45230667291492904,82,glucose,manuel_delta
lag time std,1.926886527013661,82,glucose,manuel_delta
max df stderr,8.00262070413658e-06,82,glucose,manuel_delta
time of max df,272.44666666666666,82,glucose,manuel_delta
time of max df std,4.41832547465666,82,glucose,manuel_delta
time of max df stderr,0.441832547465666,82,glucose,manuel_delta
inverse max df,62.61119544714603,82,glucose,manuel_delta
inverse max df stderr,0.0452306672914929,82,glucose,manuel_delta
max y,0.2031800494083525,82,glucose,manuel_delta
max y std,0.002806207519184169,82,glucose,manuel_delta
max y stderr,0.0002806207519184169,82,glucose,manuel_delta
lag time,129.4729413115659,82,glucose,manuel_delta
lag time stderr,0.1926886527013661,82,glucose,manuel_delta
lag time stderr,0.25918403992221595,83,glucose,manuel_delta
max y std,0.0039459297935574445,83,glucose,manuel_delta
lag time std,2.5918403992221597,83,glucose,manuel_delta
max df,0.01197833863383887,83,glucose,manuel_delta
max df std,0.00019640820818848362,83,glucose,manuel_delta
max df stderr,1.964082081884836e-05,83,glucose,manuel_delta
time of max df,202.65666666666664,83,glucose,manuel_delta
time of max df std,7.224257747339861,83,glucose,manuel_delta
time of max df stderr,0.7224257747339861,83,glucose,manuel_delta
lag time,123.81352485978385,83,glucose,manuel_delta
inverse max df std,0.9491669532518411,83,glucose,manuel_delta
inverse max df stderr,0.09491669532518411,83,glucose,manuel_delta
max y,0.20190606349622686,83,glucose,manuel_delta
max y stderr,0.00039459297935574443,83,glucose,manuel_delta
inverse max df,57.88228114131502,83,glucose,manuel_delta
